Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Very_weak,Lokus,Box_general_from_comments,General_Kg_fromcomments
121,7,00,10,00,1990,11,18,Sharot,Ashdod(N),,,"2-2.55
1700",,FALSE,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
122,10,30,13,30,1990,11,18,Sharot,,,,"2.55-2.8
1750",בת ים,FALSE,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
123,14,00,,,1990,11,18,Sharot,Ashdod(N),,,"1.5 עד הצינור וסיבוב חזרה
1700-1730 
חוליות שוות",,FALSE,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
124,,,,,1990,11,18,Sharot,Ashdod(S),,,"לילה
טוניסאית 30 ס""מ בוש למטה
1700",,FALSE,124,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,25 Kg,FALSE,,,25 Kg
125,06,45,10,30,1990,11,19,Sharot,Ashdod(S),,,"2.2
חוליות שוות
1700-1760",,FALSE,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,19 ארגזים,FALSE,,19,
126,11,00,14,30,1990,11,19,Sharot,Ashdod(S),,,"2.2
1700-1760",,FALSE,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14 ארגזים,FALSE,,14,
127,15,00,17,00,1990,11,19,Sharot,Ashdod(S),,,2.2 כל הדרך וסיבוב חזרה על 1.4,,FALSE,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
128,18,00,22,00,1990,11,19,Sharot,Ashdod(S),,,טוניסאית,,FALSE,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 Kg,FALSE,,,10 Kg
129,23,00,4,30,1990,11,19,Sharot,Ashdod(S),,,"טוניסאית
1650",,FALSE,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 Kg,FALSE,,,12 Kg
130,5,45,9,45,1990,11,20,Sharot,Ashdod(S),,,"1.4 וחזרה 2.2
1700",,FALSE,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14 ארגזים,FALSE,,14,
131,10,00,15,00,1990,11,20,Sharot,Ashdod(S),,,"2.2 וירידה 2 מיל וסיבוב חזרה 2.2
1650
1340",,FALSE,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
132,6,00,9,15,1990,11,21,Sharot,Ashdod(N),,,"2 מיל ועליה מעל הצינור וירידה חזרה
חוליות שוות
1700
מהירות 3 קשר
B",,FALSE,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגזים,FALSE,,25,
133,9,45,12,00,1990,11,21,Sharot,,20,,"עליה מעל הצינור
הרמנו אחרי שעתיים בגלל שטח סגור",בת ים,FALSE,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
134,13,45,17,15,1990,11,21,Sharot,Ashdod(S),,,"2.2
1620
מהירות 2.9
חוליה בוש למטה
B",,FALSE,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,11 ארגזים,FALSE,,11,
135,,,,,1990,11,21,Sharot,Ashdod(S),8,,"לילה
2 בוש למטה
מהירות 2.7
A
1620
כולם תפסו אותו דבר",,FALSE,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,13 Kg,FALSE,,,13 Kg
136,6,20,,,1990,11,22,Sharot,Ashdod(S),,,"2.2
מהירות 3.10
טורים 1755
A",,FALSE,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"4 ארגזים
הרבה צדפות אין דגים",FALSE,,4,
137,11,15,13,45,1990,11,22,Sharot,Ashdod(N),,,"2 מיל
חוליה בוש למעלה
מהירות 3.1-3.2
1750 הוספה של 6 ק""ג שרשרת
B",,FALSE,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"33 ארגזים
יש סולטנים",FALSE,,33,
138,14,30,,,1990,11,22,Sharot,,20,,"2 מיל
3.1
חוליות שוות
1700",בת ים,FALSE,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגזים,FALSE,,25,
139,6,00,9,00,1990,11,23,Levi,Ashdod(N),18-20,,,,FALSE,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,FALSE,27 ארגזים,FALSE,,27,
140,9,30,13,00,1990,11,23,Levi,,20,,צינור וחזרה,בת ים,FALSE,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,FALSE,20 ארגזים,FALSE,,20,
141,13,30,17,00,1990,11,23,Levi,,20,,,בת ים,FALSE,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,FALSE,20 ארגזים,FALSE,,20,
142,18,30,4,30,1990,11,23,Levi,Ashdod(N),50,,,,FALSE,142,,,,,,,,2,,,,,,,60 Kg,,,,,,,,,,2,,,,,,,,,,,,FALSE,,FALSE,,,
143,6,15,9,30,1990,11,24,Levi,Ashdod(N),,,2,,FALSE,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,18 ארגזים,FALSE,,18,
144,10,00,13,30,1990,11,24,Levi,Jaffa,,,ירידה במדרגות וחזרה,,FALSE,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
145,14,00,16,30,1990,11,24,Levi,,,,2' מהחוף,בת ים,FALSE,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
146,21,00,5,30,1990,11,24,Levi,Ashdod(N),,,,,FALSE,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,20 Kg,FALSE,,,20 Kg
147,6,30,8,30,1990,11,25,Levi,,,,2',בת ים,FALSE,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,20,,,,FALSE,,FALSE,,,
148,9,30,12,30,1990,11,25,Levi,Ashdod(N),,,2',,FALSE,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
149,13,30,16,30,1990,11,25,Levi,Ashdod(N),,,2',,FALSE,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
150,6,15,9,00,1990,11,26,Levi,Ashdod(N),20,,,,FALSE,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
151,11,00,15,30,1990,11,26,Levi,Tel Aviv,85,,,,FALSE,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"10 ארגזים
לא יפים",FALSE,,10,
152,17,00,23,30,1990,11,26,Levi,Ashdod(N),,,,,FALSE,152,,,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
153,00,30,5,00,1990,11,27,Levi,,50,,,הרצליה,FALSE,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"חלש מאד
נגד זרם חזק מאד",FALSE,,,
154,6,30,9,30,1990,11,27,Levi,,,,2.5,בת ים,FALSE,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
155,11,30,14,30,1990,11,27,Levi,Ashdod(S),,,2.2,,FALSE,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
156,15,00,17,00,1990,11,27,Levi,Ashdod(S),,,2.2,,FALSE,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
157,23,00,5,00,1990,11,27,Levi,Ashdod(N),50,,,,FALSE,157,,,,,,,,2,4,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,FALSE,גמבארי ורוד,FALSE,,,
158,6,30,10,00,1990,11,28,Levi,,,,2.2,בת ים,FALSE,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,23 ארגזים,FALSE,,23,
159,10,30,14,00,1990,11,28,Levi,,,,2.6,בת ים,FALSE,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
160,14,30,17,00,1990,11,28,Levi,Jaffa,,,2.7',,FALSE,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
161,18,30,20,00,1990,11,28,Levi,,50,,,רידינג,FALSE,161,,,,,,,,2,,,,,,,4,,,,,,,,,,3,,,,,,,,,,,,FALSE,,FALSE,,,
162,3,00,7,00,1990,11,29,Levi,Ashdod(N),,,1.5 מהחוף,,FALSE,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
163,7,30,11,00,1990,11,29,Levi,Ashdod(N),,,2.5,,FALSE,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,13 ארגזים,FALSE,,13,
164,11,39,16,00,1990,11,29,Levi,Jaffa,,,3.5,,FALSE,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגזים,FALSE,,12,
165,,,,,1990,11,30,Zion,Ashdod(N),,,2.5,,FALSE,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
166,,,,,1990,11,30,Zion,,26,,,פלמחים,FALSE,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
167,,,,,1990,11,30,Zion,,,,2.8',הרצליה,FALSE,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
168,,,,,1990,11,30,Zion,Ashdod(N),9-10,,"לילה
גמברי",,FALSE,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 Kg,FALSE,,,10 Kg
169,,,,,1990,11,30,Zion,Ashdod(N),16,,"לילה
גמברי",,FALSE,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,18 Kg,FALSE,,,18 Kg
170,,,,,1990,12,1,Zion,Ashdod(N),,,2.5',,FALSE,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגזים,FALSE,,12,
171,,,,,1990,12,1,Zion,Jaffa,,,2.5' ירידה ל-18,,FALSE,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
172,,,,,1990,12,1,Zion,Ashdod(N),48,,,,FALSE,172,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
173,,,,,1990,12,1,Zion,,42-44,,,בת ים,FALSE,173,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
174,,,,,1990,12,1,Zion,Ashdod(S),42,,,,FALSE,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
175,,,,,1990,12,1,Zion,Jaffa,42,,,,FALSE,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
176,,,,,1990,12,2,Zion,,48-50,,,פלמחים,FALSE,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2 קלמרי דגים,FALSE,,2,
177,,,,,1990,12,3,Zion,Falick,42,,,,FALSE,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
178,,,,,1990,12,3,Zion,Tel Aviv,42,,,,FALSE,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
179,,,,,1990,12,3,Zion,Falick,52,,,,FALSE,179,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
180,,,,,1990,12,4,Zion,,,,42 ועליה ל48/50,כור(?) דרום,FALSE,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
181,,,,,1990,12,4,Zion,,112,,,עזה,FALSE,181,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 S+6 B+,FALSE,,FALSE,,,
182,,,,,1990,12,4,Zion,Ashdod(N),16,,נראה לי יציאת לילה,,FALSE,182,,,,,,,,10,28 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
183,,,,,1990,12,5,Zion,Ashdod(N),,,2.5',,FALSE,183,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
184,,,,,1990,12,5,Zion,Tel Aviv,42,,,,FALSE,184,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
185,,,,,1990,12,5,Zion,,8,,,מכמורת,FALSE,185,,,,,,,,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
186,,,,,1990,12,5,Zion,Ashdod(S),8,,"12'
עליה ל-16 באשדוד",,FALSE,186,,,,,,,,5,8 Kg,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
187,,,,,1990,12,6,Zion,,26,,,בת ים,FALSE,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,13 ארגזים,FALSE,,13,
188,22,00,5,30,1990,12,6,Zion,Ashdod(S),103-105,,"חוליות שוות
14 סימנים
1650",,FALSE,188,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,6 ארגזים,FALSE,,6,
189,6,30,12,00,1990,12,7,Sharot,,110,,"A
14 סימנים
1700
חוליות שוות",עזה,FALSE,189,,3 B+2 S+1 M+2 L+,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,8 B+3 M+,FALSE,,FALSE,,,
190,13,00,19,00,1990,12,7,Sharot,,110,,"1700
שווה
14 סימנים
ברידלס תחתון קרוע
A",ניצנים,FALSE,190,,3 B+1 S+1 L+,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,גמברי ורוד,FALSE,,,
191,21,00,3,00,1990,12,7,Sharot,Katza,112,,"14 סימנים
1700
B
קיצור 1 חוליה בשרבט",,FALSE,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
192,8,15,10,30,1990,12,8,Sharot,Ashdod(N),,,"B
2.55
חוליות שוות
1700",,FALSE,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"8 ארגזים
הרבה סרטנים",FALSE,,8,
193,11,15,14,30,1990,12,8,Sharot,,,,"2.5-2.7
שתי חוליות למעלה
1700
B",בת ים,FALSE,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,22 ארגזים,FALSE,,22,
194,15,00,,,1990,12,8,Sharot,Ashdod(N),,,"2.8 וסיבוב לפני הצינור חזרה על 1.8
1700
B",,FALSE,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
195,7,15,10,00,1990,12,9,Sharot,Ashdod(N),,,"B
2.5-2.7
2 חוליות למעלה
1700",,FALSE,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"4 ארגזים
הרבה סרטנים ובוץ",FALSE,,,
196,11,00,12,45,1990,12,9,Sharot,,20,,"B
1700
עליה מעל הצינור
2 חוליות למעלה",בת ים,FALSE,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"8 ארגזים
הרבה סרטנים",FALSE,,8,
197,15,00,18,00,1990,12,9,Sharot,Ashdod(S),,,"2.2
3 חוליות למעלה
B",,FALSE,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,9 ארגזים,FALSE,,9,
198,20,00,4,45,1990,12,9,Sharot,Ashdod(S),,,"3 חוליות בוש
1650
A",,FALSE,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 Kg,FALSE,,,25 Kg
199,6,00,9,45,1990,12,10,Sharot,Ashdod(S),,,"2.2
ירידה ל2 מיל
3 חוליות למעלה
1700-1750
B",,FALSE,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
200,10,30,14,00,1990,12,10,Sharot,Ashdod(S),,,"1.4
1700
3 חוליותלמעלה
B",,FALSE,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3 ארגזים,FALSE,,3,
201,,,,,1990,12,10,Sharot,Ashdod(S),,,"2.2
1700
B",,FALSE,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
202,19,00,02,00,1990,12,10,Sharot,,112,,"1 חוליה למטה
14 סימנים
1700
A",ניצנים,FALSE,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,FALSE,15 ארגזים,FALSE,,15,
203,03,30,10,00,1990,12,11,Sharot,,110,,"A
1700
חוליה למטה
14 סימנים",חאן יונס,FALSE,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,20 ארגזים,FALSE,,20,
204,10,45,15,45,1990,12,11,Sharot,Katza,110,,"A
1700
חוליה למטה",,FALSE,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,40 ארגזים,FALSE,,40,
205,7,00,12,00,1990,12,12,Sharot,,110,,"ירידה לבורות 110-120
14 סימנים
1710
חוליה למטה
A",ניצנים,FALSE,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגזים,FALSE,,25,
206,13,00,18,00,1990,12,12,Sharot,,110-120,,"1720
חוליה למטה
A",בת ים,FALSE,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,17 ארגזים,FALSE,,17,
207,22,30,6,15,1990,12,12,Sharot,,,,A,ניצנים,FALSE,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
208,7,15,12,00,1990,12,13,Sharot,,110,,"A
טורים
1700",דיר אל בלאח,FALSE,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,18 ארגזים,FALSE,,18,
209,12,45,15,15,1990,12,13,Sharot,Katza,110,,1700,,FALSE,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3 ארגזים,FALSE,,3,
210,23,30,6,00,1990,12,13,Levi,Ashdod(N),16,,,,FALSE,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,25 ארגזים,FALSE,,25,
211,7,00,10,00,1990,12,14,Levi,,,,2.5',פלמחים,FALSE,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,18 ארגזים,FALSE,,18,
212,10,30,14,30,1990,12,14,Levi,,,,חזרה דרומה,,FALSE,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,22 ארגזים,FALSE,,22,
213,16,30,23,00,1990,12,14,Levi,Jaffa,,,1.5',,FALSE,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"13 Kg
4 ארגזים",FALSE,,4,13 Kg
214,00,00,06,00,1990,12,14,Levi,Ashdod(N),,,,,FALSE,214,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,13 Kg,FALSE,,,13 Kg
215,9,00,,,1990,12,15,Levi,Ashdod(N),,,1.8 מהחוף,,FALSE,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,14 ארגזים,FALSE,,14,
216,12,30,16,00,1990,12,15,Levi,,,,2.2,בת ים,FALSE,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,18 ארגזים,FALSE,,18,
217,21,00,02,00,1990,12,15,Levi,Ashdod(N),16,,,,FALSE,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 Kg,FALSE,,,10 Kg
218,3,00,7,30,1990,12,16,Levi,Ashdod(N),16,,,,FALSE,218,,,,,,,,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,3 Kg,FALSE,,,3 Kg
219,8,00,12,00,1990,12,16,Levi,Ashdod(N),,,2',,FALSE,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
220,12,30,17,00,1990,12,16,Levi,Ashdod(N),,,2.2',,FALSE,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,13 ארגזים,FALSE,,13,
221,20,30,06,00,1990,12,16,Levi,Ashdod(S),5-6,,,,FALSE,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 Kg,FALSE,,,15 Kg
222,7,30,11,30,1990,12,17,Levi,Ashdod(N),27,,,,FALSE,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
223,12,30,14,00,1990,12,17,Levi,Jaffa,,,,,FALSE,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
224,17,30,24,30,1990,12,17,Levi,,85,,,הרצליה,FALSE,224,,3 L+1 M+2 B+,,,,,,1,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
225,01,00,06,00,1990,12,17,Levi,Ashdod(S),85,,,,FALSE,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,5 ארגזים,FALSE,,5,
226,8,00,12,45,1990,12,18,Levi,Ashdod(S),,,4',,FALSE,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"15 ארגזים
חולים, סולטן, פס צהוב",FALSE,,15,
227,13,00,15,30,1990,12,18,Levi,,,,על הצינור 2',,FALSE,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
228,16,00,17,30,1990,12,18,Levi,,,,על הצינור,,FALSE,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
229,21,00,06,00,1990,12,18,Levi,Ashdod(N),16,,,,FALSE,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,20 Kg,FALSE,,,20 Kg
230,7,30,11,30,1990,12,19,Levi,,,,על הצינור,,FALSE,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"22 ארגזים
הרבה טרחונים",FALSE,,22,
231,12,00,15,30,1990,12,19,Levi,,,,על הצינור,,FALSE,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,12 ארגז,FALSE,,12,
232,18,00,24,00,1990,12,19,Levi,Jaffa,42,,,,FALSE,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3 ארגזים,FALSE,,3,
233,01,00,07,00,1990,12,19,Levi,Jaffa,52,,,,FALSE,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,חלש ביותר,FALSE,,0,
234,8,30,12,00,1990,12,20,Levi,,,,3.5',בת ים,FALSE,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
235,13,00,16,30,1990,12,20,Levi,,,,,בת ים,FALSE,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,18 ארגזים,FALSE,,18,
236,,,,,1990,12,21,Zion,Ashdod(S),22,,B,,FALSE,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,7 ארגזים,FALSE,,7,
237,,,,,1990,12,21,Zion,,22,,A,חסי,FALSE,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
238,,,,,1990,12,22,Zion,Ashdod(N),17,,עליה 20 וירידה 19,,FALSE,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10 ארגזים,FALSE,,10,
239,,,,,1990,12,22,Zion,,17,,עליה 20 וירידה 19,בת ים,FALSE,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
240,,,,,1990,12,22,Zion,Ashdod(N),16 ו-9,,לילה,,FALSE,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,13 Kg,FALSE,,,13 Kg
241,,,,,1990,12,23,Zion,Tel Aviv,42,,,,FALSE,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,8 ארגזים,FALSE,,8,
242,,,,,1990,12,23,Zion,Tel Aviv,42,,,,FALSE,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"7 ארגזים
פחות יפים",FALSE,,7,
243,,,,,1990,12,23,Zion,Tel Aviv,42,,,,FALSE,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,
244,,,,,1990,12,24,Zion,Jaffa,42/43,,"ים קשה
רשת ארוכה
6 שעות",,FALSE,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,45 ארגזים בערך,FALSE,,45,
245,6,30,,,1990,12,25,Zion,Ashdod(N),18,,עליה ל-20 ירידה ל-19,,FALSE,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,,,
246,11,00,16,30,1990,12,25,Zion,Jaffa,26,,,,FALSE,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,15 ארגזים,FALSE,,15,
247,,,,,1990,12,25,Zion,Ashdod(N),42,,לילה,,FALSE,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3 ארגזים,FALSE,,3,
248,,,,,1990,12,26,Zion,,34,,,כור(?),FALSE,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4 ארגזים,FALSE,,4,
