Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Night_drag_comments,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Shark,Bori
108,11,30,16,30,1994,11,1,Levi,Katza N,,4,,FALSE,,FALSE,,FALSE,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5,,,,,FALSE,,,,,,,,,,,
109,18,30,05,30,1994,11,1,Levi,Ashdod S,12,,,FALSE,,FALSE,,FALSE,,109,,,,,,,,,60 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
110,06,30,09,30,1994,11,2,Levi,Ashkelon S,,4,,FALSE,,FALSE,,FALSE,,110,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
111,10,00,14,00,1994,11,2,Levi,Gazza N,,4,,FALSE,,FALSE,,FALSE,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
112,14,30,17,00,1994,11,2,Levi,Nitanim N,,4,,FALSE,,FALSE,,FALSE,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
113,19,00,05,00,1994,11,3,Levi,Ashdod S,12,,,FALSE,,FALSE,,FALSE,Gambari,113,,,,,,,,,55 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
114,07,30,11,30,1994,11,4,Levi,Ashdod S,,4,,FALSE,,FALSE,,FALSE,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
115,13,00,16,45,1994,11,4,Levi,Katza N,15,,,FALSE,,FALSE,,FALSE,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8,,,,,FALSE,,,,,,,,,,,
116,17,15,22,00,1994,11,4,Levi,Ashdod S,12,,,FALSE,,FALSE,,FALSE,,116,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
117,23,00,05,30,1994,11,4,Levi,Ashdod S,12,,,FALSE,,FALSE,,FALSE,,117,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
118,06,45,10,30,1994,11,5,Levi,Ashdod N,,4,,FALSE,,FALSE,,FALSE,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,7,,,,,FALSE,,,,,,,,,,,
119,11,00,14,30,1994,11,5,Levi,Tel Aviv N,16,,,FALSE,,FALSE,,FALSE,,119,,,,,,,,,,,4,,,,,,,,,,0.5,,,,,,,,,,,,,,,,FALSE,,0.5,,,,,,,,FALSE,,,,,,,,,,,
120,16,00,22,30,1994,11,5,Levi,Falick S,52,,,FALSE,,FALSE,,FALSE,,120,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
121,23,30,05,30,1994,11,5,Levi,Bat yam N,42,,,FALSE,,FALSE,,FALSE,,121,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
122,07,00,11,15,1994,11,6,Levi,Falick S,,4,,FALSE,,FALSE,,FALSE,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
123,11,45,15,00,1994,11,6,Levi,Riding S,,4,,FALSE,,FALSE,,FALSE,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8,,,,,FALSE,,,,,,,,,,,
124,,,,,1994,11,7,,,,,,FALSE,,TRUE,,FALSE,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
125,07,00,10,00,1994,11,8,Sharot,Ashdod N,,2.55,,FALSE,,FALSE,,FALSE,,125,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
126,05,45,09,45,1994,11,09,Sharot,gaas N,,4,,FALSE,,FALSE,,FALSE,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,12,,,,,FALSE,,,,,,,,,,,
127,10,30,13,45,1994,11,09,Levi,Hadera S,,4,,FALSE,,FALSE,,FALSE,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,14,,,,,FALSE,,,,,,,,,,,
128,14,30,17,00,1994,11,09,Levi,Falick S,,2.85,,FALSE,,FALSE,,FALSE,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,30,,,,,FALSE,,,,,,,,,,,
129,18,00,23,30,1994,11,09,Sharot,Tel Aviv N,,1.1,,FALSE,,FALSE,,FALSE,,129,,,,,,,,,3 S+,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,14,,,,,FALSE,,,,,,,,,,,
130,00,00,05,00,1994,11,10,Sharot,Natanya S,,1,,FALSE,,FALSE,,FALSE,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,,
131,05,40,09,40,1994,11,10,Sharot,Riding N,,2.85,,FALSE,,FALSE,,FALSE,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,35,,,,,FALSE,,,,,,,,,,,
132,10,10,14,00,1994,11,10,Sharot,Falick S,,2.85,,FALSE,,FALSE,,FALSE,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,25,,,,,FALSE,,,,,,,,,,,
133,14,30,15,30,1994,11,10,Sharot,Jaffa S,,2.55,,FALSE,,FALSE,,FALSE,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,,
134,06,00,09,30,1994,11,11,Sharot,Ashdod N,,2.5,,FALSE,,FALSE,,FALSE,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,,
135,10,00,14,00,1994,11,11,Sharot,Jaffa N,,2.85,,FALSE,,FALSE,,FALSE,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,30,,,,,FALSE,,,,,,,,,,,
136,14,30,17,30,1994,11,11,Sharot,Falick S,,2.85,,FALSE,,FALSE,,FALSE,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,30,,,,,FALSE,,,,,,,,,,,
137,19,00,05,00,1994,11,11,Sharot,Tel Aviv S,50,,,FALSE,,FALSE,,FALSE,,137,,,,,,,,2,,,,,,,5,,,,,,,,,,3,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
138,06,30,10,30,1994,11,12,Sharot,Jaffa N,,2.85,,FALSE,,FALSE,,FALSE,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,20,,,,,FALSE,,,,,,,,,,,
139,11,15,15,30,1994,11,12,Sharot,Falick S,,2.85,,FALSE,,FALSE,,FALSE,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,18,,,,,FALSE,,,,,,,,,,,
140,21,00,05,00,1994,11,12,Sharot,Ashdod N,50,,,FALSE,,FALSE,,FALSE,,140,,,,,,,,,,,,,,,4,2,,,,,,,,,3,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
141,06,30,10,00,1994,11,13,Sharot,Falick S,,2.85,,FALSE,,FALSE,,FALSE,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
142,10,30,,,1994,11,13,Sharot,Jaffa N,,,,FALSE,,FALSE,,FALSE,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
143,,,,,1994,11,18,zion,Bat yam N,,2.6,,FALSE,,FALSE,,FALSE,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
144,,,,,1994,11,18,zion,Tel Aviv N,,2.8,,FALSE,,FALSE,,FALSE,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,20,,,,,FALSE,,,,,,,,,,,
145,,,,,1994,11,18,zion,Falick N,,,night,TRUE,,FALSE,,FALSE,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,20,,,,,FALSE,,,,,,,,,,,
146,23,00,06,00,1994,11,21,Levi,,42,,night,TRUE,,FALSE,,TRUE,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
147,21,00,02,00,1994,11,24,Levi,bank,13,,,FALSE,,FALSE,,FALSE,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
148,02,30,07,00,1994,11,25,Levi,Herzelia N,,2.75,,FALSE,,FALSE,,FALSE,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,13,,,,,FALSE,,,,,,,,,,,
149,08,00,12,00,1994,11,25,Levi,Herzelia N,,2.8,,FALSE,,FALSE,,FALSE,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,28,,,,,FALSE,,,,,,,,,,,
150,12,30,16,30,1994,11,25,Levi,Herzelia N,,2.8,,FALSE,,FALSE,,FALSE,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,18,,,,,FALSE,,,,,,,,,,,
151,18,00,01,00,1994,11,25,Levi,bank,,0.57,,FALSE,,FALSE,,FALSE,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,20,,,,,FALSE,,,,,,,,,,,
152,01,00,06,30,1994,11,25,Levi,bank,,,,FALSE,,FALSE,,FALSE,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5,,,,,FALSE,,,,,,,,,,,
153,08,15,12,30,1994,11,27,Levi,Hadera S,23,,,FALSE,,FALSE,,FALSE,,153,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,18,,,,,FALSE,,,,,,,,,,,
154,13,00,16,15,1994,11,27,Levi,Natanya N,,3.9,,FALSE,,FALSE,,FALSE,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
155,07,00,12,00,1994,11,28,Sharot,Hadera S,,4,,FALSE,,FALSE,,FALSE,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,28,,,,,FALSE,,,,,,,,,,,
156,12,30,17,00,1994,11,28,Sharot,Falick S,,4,,FALSE,,FALSE,,FALSE,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,12,,,,,FALSE,,,,,,,,,,,
157,19,00,03,00,1994,11,28,Sharot,Jaffa N,42,,,FALSE,,FALSE,,FALSE,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
158,06,00,10,30,1994,11,29,Sharot,Hadera S,,4,,FALSE,,FALSE,,FALSE,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,17,,,,,FALSE,,,,,,,,,,,
159,,,,,1994,12,06,zion,Jaffa N,,3.8,,FALSE,,FALSE,,FALSE,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,33,,,,,FALSE,,,,,,,,,,,
160,08,15,12,15,1994,12,07,zion,Tel Aviv N,27,,,FALSE,,FALSE,,FALSE,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,35,,,,,FALSE,,,,,,,,,,,
161,13,10,,,1994,12,07,zion,Natanya S,26,,,FALSE,,FALSE,,FALSE,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,30,,,,,FALSE,,,,,,,,,,,
162,08,00,12,00,1994,12,08,zion,Tel Aviv N,26,,,FALSE,,FALSE,,FALSE,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
163,13,00,,,1994,12,08,zion,Falick N,26,,,FALSE,,FALSE,,FALSE,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,42,,,,,FALSE,,,,,,,,,,,
164,18,00,,,1994,12,08,zion,cisaria S,42,,,FALSE,,FALSE,,FALSE,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
165,01,30,07,00,1994,12,09,Zion,Herzelia N,42,,,FALSE,,FALSE,,FALSE,,165,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,2.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
166,08,30,12,30,1994,12,09,Zion,Hadera S,26,,,FALSE,,FALSE,,FALSE,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,25,,,,,FALSE,,,,,,,,,,,
167,13,00,,,1994,12,09,Zion,Hadera S,27,,,FALSE,,FALSE,,FALSE,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,35,,,,,FALSE,,,,,,,,,,,
168,,,,,1994,12,10,Zion,Hadera S,27,,,FALSE,,FALSE,,FALSE,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,20,,,,,FALSE,,,,,,,,,,,
169,,,,,1994,12,10,Zion,Jaffa N,26,,,FALSE,,FALSE,,FALSE,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
170,22,00,05,30,1994,12,11,Levi,Ashdod S,,,,FALSE,,FALSE,,FALSE,Gambari,170,,,,,,,,,60 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
171,07,30,11,30,1994,12,12,Levi,Ashdod N,42,,,FALSE,,FALSE,,FALSE,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8,,,,,FALSE,,,,,,,,,,,
172,13,00,17,00,1994,12,12,Levi,Jaffa S,,3.3,,FALSE,,FALSE,,FALSE,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,18,,,,,FALSE,,,,,,,,,,,
173,21,00,05,30,1994,12,12,Levi,Tel Aviv N,42,,,FALSE,,FALSE,,FALSE,,173,,,,,,,,,,,,,,,4,2 B+2 S+,,,,,,,,,,,,,3.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
174,06,00,10,30,1994,12,13,Levi,Michmoret N,28,,,FALSE,,FALSE,,FALSE,,174,,,,,,,,,,,,3,,,,,,,,,,3 B+,,,,,,,3.5 S+1.5 M+1.5 L+,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
175,11,00,13,00,1994,12,13,Levi,Michmoret N,27.5,,,FALSE,,FALSE,,FALSE,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,,,,
176,13,30,17,30,1994,12,13,Levi,Hadera N,27.5,,,FALSE,,FALSE,,FALSE,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,13,,,,,FALSE,,,,,,,,,,,
177,19,30,01,30,1994,12,13,Levi,Hadera S,42,,,FALSE,,FALSE,,FALSE,,177,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
178,02,30,07,15,1994,12,14,Levi,Herzelia S,42,,,FALSE,,FALSE,,FALSE,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,,
179,08,00,,,1994,12,14,Levi,Palmachim S,27,,,FALSE,,FALSE,,FALSE,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 M+,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
180,12,45,,,1994,12,14,Levi,Nitanim S,27,,,FALSE,,FALSE,,FALSE,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,,
181,23,30,06,00,1994,12,14,Levi,Ashdod N,42,,,FALSE,,FALSE,,FALSE,,181,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,4,,,FALSE,,,,,,,,,,,
182,08,00,12,30,1994,12,15,Levi,Nitanim N,110,,,FALSE,,FALSE,,FALSE,,182,,5 L+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,FALSE,,,,,1,,,1,,FALSE,,,,,,,,,,,
183,13,30,19,00,1994,12,15,Levi,Nitanim N,110,,,FALSE,,FALSE,,FALSE,,183,,4 L+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,1,,FALSE,,,,,,,,,,,
184,07,00,11,30,1994,12,16,Levi,Nitanim N,27,,,FALSE,,FALSE,,FALSE,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,,
185,12,00,16,30,1994,12,16,Levi,Palmachim S,27,,,FALSE,,FALSE,,FALSE,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8,,,,,FALSE,,,,,,,,,,,
186,18,00,24,30,1994,12,16,Levi,Katza N,42,,,FALSE,,FALSE,,FALSE,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,,,,
187,,,,,1994,12,17,,,,,,FALSE,,TRUE,,FALSE,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
188,,,,,1994,12,18,,,,,,FALSE,,TRUE,,FALSE,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
189,01,30,07,30,1994,12,21,Sharot,Tel Aviv N,8,,,FALSE,,FALSE,,FALSE,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,45,,,,,FALSE,,,,,,,,,,,
190,08,45,13,00,1994,12,21,Sharot,Hadera S,27,,,FALSE,,FALSE,,FALSE,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,,,,
191,14,00,17,00,1994,12,21,Levi,Falick S,,,,FALSE,,FALSE,,FALSE,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,65,,,,,FALSE,,,,,,,,,,,
192,07,30,10,30,1994,12,22,Sharot,Tel Aviv N,16,,,FALSE,,FALSE,,FALSE,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,30,,,,,FALSE,,,,,,,,,,,
193,11,00,14,30,1994,12,22,Sharot,Falick S,16,,,FALSE,,FALSE,,FALSE,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,40,,,,,FALSE,,,,,,,,,,,
194,15,00,17,30,1994,12,22,Sharot,Jaffa S,,3.5,,FALSE,,FALSE,,FALSE,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,18,,,,,FALSE,,,,,,,,,,,
195,06,30,10,30,1994,12,23,Sharot,Jaffa N,,2.85,,FALSE,,FALSE,,FALSE,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,30,,,,,FALSE,,,,,,,,,,,
196,11,00,14,00,1994,12,23,Sharot,Falick S,,2.85,,FALSE,,FALSE,,FALSE,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,25,,,,,FALSE,,,,,,,,,,,
197,15,00,17,30,1994,12,23,Sharot,Tel Aviv S,,2.65,,FALSE,,FALSE,,FALSE,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,18,,,,,FALSE,,,,,,,,,,,
198,19,00,02,30,1994,12,23,Sharot,Palmachim N,50,,,FALSE,,FALSE,,FALSE,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
199,06,00,09,45,1994,12,24,Sharot,Falick S,,2.85,,FALSE,,FALSE,,FALSE,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,20,,,,,FALSE,,,,,,,,,,,
200,10,20,13,45,1994,12,24,Sharot,Tel Aviv N,,2.85,,FALSE,,FALSE,,FALSE,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,25,,,,,FALSE,,,,,,,,,,,
201,14,15,17,00,1994,12,24,Sharot,Jaffa S,,3.2,,FALSE,,FALSE,,FALSE,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,25,,,,,FALSE,,,,,,,,,,,
202,06,00,10,30,1994,12,25,Sharot,Jaffa N,,2.85,,FALSE,,FALSE,,FALSE,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,25,,,,,FALSE,,,,,,,,,,,
203,23,00,05,00,1995,1,02,Levi,Ashdod S,200,,,FALSE,,FALSE,,FALSE,,203,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,3,,FALSE,,,,,,,,,,,
204,06,00,11,30,1995,1,02,Levi,Gazza N,210,,,FALSE,,FALSE,,FALSE,,204,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,5.5,,FALSE,,,,,,,,,,,
205,13,00,17,30,1995,1,02,Levi,Ashdod S,110,,,FALSE,,FALSE,,FALSE,,205,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
206,19,00,24,30,1995,1,02,Levi,Jaffa N,42,,,FALSE,,FALSE,,FALSE,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,,
207,02,00,07,30,1995,1,03,Levi,Hadera S,115,,,FALSE,,FALSE,,FALSE,,207,,7,,,,,,,,,,,,,1.5,1,,,,,,,,,,,,,,,,,,2,,,FALSE,,,,,,,2,,,FALSE,,,,,,,,,,,
208,09,15,13,00,1995,1,03,Levi,Herzelia S,,2.75,,FALSE,,FALSE,,FALSE,,208,,,,,,,,,,,,5,,,1.5,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
209,15,00,21,00,1995,1,03,Levi,Jaffa N,115,,,FALSE,,FALSE,,FALSE,,209,,2 B+1 S+1.5 M+1.5 L+,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2,,,FALSE,,,,,,,3,,,FALSE,,,,,,,,,,,
210,22,00,05,00,1995,1,03,Levi,Michmoret S,115,,,FALSE,,FALSE,,FALSE,,210,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
211,06,00,11,00,1995,1,04,Levi,Jaffa S,85,,,FALSE,,FALSE,,FALSE,,211,,1 S+,,,,,,,,,,,,,2,1 S+,,,,,,,,,2,,,,1 L+,,,,,,,,FALSE,,,,,,,2,,,FALSE,,,,,,,,,,,
212,21,00,06,00,1995,1,04,Levi,Ashdod S,5,,,FALSE,,FALSE,,FALSE,Gambari,212,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
213,07,00,12,00,1995,1,05,Levi,Ashdod S,21,,,FALSE,,FALSE,,FALSE,,213,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
214,13,00,17,30,1995,1,05,Levi,Ashdod S,21,,,FALSE,,FALSE,,FALSE,,214,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5,,,,,,,,FALSE,,,,,,,,,,,
215,18,00,05,00,1995,1,05,Levi,Ashdod S,6,,,FALSE,,FALSE,,FALSE,Gambari,215,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
216,08,00,12,00,1995,1,06,Levi,Ashdod S,22,,,FALSE,,FALSE,,FALSE,,216,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
217,13,30,18,00,1995,1,06,Levi,Ashkelon N,27,,,FALSE,,FALSE,,FALSE,,217,,,,,,,,,,,,7,,,1,,,,,,,,,,1,,,,,,,,,,,,FALSE,,4,,,,,,,,FALSE,,,,,,,,,,,
218,20,00,06,30,1995,1,06,Levi,Ashdod S,6,,,FALSE,,FALSE,,FALSE,,218,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
219,08,00,12,30,1995,1,07,Levi,Ashdod N,,2.75,,FALSE,,FALSE,,FALSE,,219,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
