Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Tamnoon,Soltan_Hol,Adom,Shark,Tuna,Deba,Alafuchim,Sardin_round
112,17,30,00,30,2007,11,19,Levi,Ashdod S,,1.7,,,FALSE,,FALSE,Gambari,112,,,,,1,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
113,01,00,05,30,2007,11,19,Levi,Ashdod S,,1.7,,,FALSE,,TRUE,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
114,,,,,2007,11,20,Levi,,,,,,TRUE,,FALSE,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
115,,,,,2007,11,21,Levi,,,,,,TRUE,,FALSE,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
116,11,30,13,45,2007,11,22,Levi,Ashdod N,18,,,,FALSE,,FALSE,,116,,,,,,,,,,,,,,,4,0.5 S+0.5 M+,,,,1.5,1,,,,,,1.5,,,,,,1,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
117,14,15,17,00,2007,11,22,Levi,Rishon N,,2.6,,,FALSE,,FALSE,,117,,,,,,,,,5 Kg,,,,,,,3,,,,,,,,,,,3,,,,,,1,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
118,17,30,22,00,2007,11,22,Levi,Bat yam S,16,,,,FALSE,,FALSE,,118,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,7,,,,,FALSE,,,,,,,,
119,23,00,03,30,2007,11,22,Levi,Ashdod N,17,,,,FALSE,,FALSE,Gambari,119,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
120,,,,,2007,11,,,,,,,,FALSE,,FALSE,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
121,06,30,10,00,2007,11,23,Levi,Ashdod N,19,,,,FALSE,,FALSE,,121,,,,,,,,,,,,,,,3,,,,,,1.5,,,,,,3,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
122,10,30,13,30,2007,11,23,Levi,Jaffa S,26,,,,FALSE,,FALSE,,122,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
123,14,00,17,30,2007,11,23,Levi,Palmachim S,30,,,,FALSE,,FALSE,,123,,,1.5,,,,,,,,,0.5,,,1,1 B+,,,,,,0.5,,,,,,,,,,,,,,1 M+,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,
124,18,30,24,00,2007,11,23,Levi,Bat yam S,18,,,,FALSE,,FALSE,Gambari,124,,,,,,,,,35 Kg L+,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
125,00,30,05,30,2007,11,24,Levi,Ashdod N,18,,,,FALSE,,FALSE,Gambari,125,,,,,,,,,30 Kg L+,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
126,07,00,10,00,2007,11,24,Levi,Ashdod S,30,,,,FALSE,,FALSE,,126,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
127,10,45,14,15,2007,11,24,Levi,Ashdod S,35,,,,FALSE,,FALSE,,127,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,0.5,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
128,19,00,03,00,2007,11,24,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,Gambari,128,,,,,,,,,55 Kg L+,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
129,07,30,10,45,2007,11,25,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,,129,,,,,,,,,,,,,,,,,,,,1 M+1 L+,2,,,,,,1 M+,,,,,,3,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
130,11,15,14,00,2007,11,25,Levi,Rishon S,,3.3,,,FALSE,,FALSE,,130,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,2,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
131,14,30,17,15,2007,11,25,Levi,Ashdod N,,3.1,,,FALSE,,FALSE,,131,,,,,,,,,,,,,,,,,,1 L+,,1,2,,,,,,,,,,,,2,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
132,18,00,23,30,2007,11,25,Levi,Jaffa S,16,,,,FALSE,,FALSE,Gambari,132,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,1,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
133,00,00,,,2007,11,25,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,Gambari,133,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
134,10,00,13,30,2007,11,26,Levi,Ashdod S,40,,,,FALSE,,FALSE,,134,,,,,,,,,,1 S+,,,,,,,,,,,,,,,,,,,1,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
135,14,30,17,30,2007,11,26,Levi,Ashkelon N,32,,,,FALSE,,FALSE,,135,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,2 M+,FALSE,,,,,2,,,,,FALSE,,,,,,,,
136,19,00,00,00,2007,11,26,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,Gambari,136,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,2,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
137,00,30,05,30,2007,11,26,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,Gambari,137,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,2,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
138,06,30,10,00,2007,11,27,Levi,Ashdod N,,2.5,,,FALSE,,FALSE,,138,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
139,11,30,14,15,2007,11,27,Levi,Jaffa S,50,,,,FALSE,,FALSE,,139,,,,,,,,,,1 B+1 S+,,,,,,,,,,,1 M+,0.5,,,,,,,1.5,,,,,,,1 L+,FALSE,,,,,1,,,,,FALSE,,,,,,,,
140,14,45,17,30,2007,11,27,Levi,Jaffa S,50,,,,FALSE,,FALSE,,140,,,,,,,,,,1,,,,,,,,,,,1,0.5,,,,,,,1,,,,,,,1 L+,FALSE,,,,,1,,,,,FALSE,,,,,,,,
141,07,30,10,00,2007,12,5,Levi,Ashdod S,,2.5,,,FALSE,,FALSE,,141,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
142,10,30,13,30,2007,12,5,Levi,Ashkelon N,,3.8,,,FALSE,,FALSE,,142,,,,,,,,,,,,,,,3,,,,,,,1.5,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
143,14,00,17,00,2007,12,5,Levi,Ashdod N,,3.5,,,FALSE,,FALSE,,143,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
144,18,00,24,00,2007,12,5,Levi,Ashdod N,16,,,,FALSE,,FALSE,Gambari,144,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
145,00,30,05,00,2007,12,5,Levi,Ashdod N,18,,,,FALSE,,FALSE,Gambari,145,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
146,06,00,07,30,2007,12,6,,Ashdod,18,,,,TRUE,,FALSE,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
147,,,,,2007,12,7,,,,,,,TRUE,,FALSE,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
148,21,00,03,30,2007,12,9,,Ashdod N,17,,,,FALSE,,FALSE,Gambari,148,,,,,,,,,45 Kg M+,,,1,,,3,,,,,,,,,,,,,,,1,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
149,07,00,10,30,2007,12,10,Levi,Ashdod N,,3.1,,,FALSE,,FALSE,,149,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
150,,,,,2007,12,,,,,,,,FALSE,,FALSE,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
151,11,00,14,00,2007,12,10,Levi,Tel Aviv S,27,3.5,,,FALSE,,FALSE,,151,,,,,,,,,,,,,,,,,,,,,,1,1 S+1 L+,,,,,,,,,,,,,1 L+,FALSE,,,,,1,,,,,FALSE,,,,,,,,
152,14,45,05,15,2007,12,10,Levi,,,3.3,,,FALSE,,FALSE,,152,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
153,18,00,24,00,2007,12,10,Levi,Ashdod N,17,,,,FALSE,,FALSE,Gambari,153,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
154,00,30,05,30,2007,12,10,Levi,,18,,,,FALSE,,FALSE,Gambari,154,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
155,06,30,10,00,2007,12,11,,,22,,,,FALSE,0.4,FALSE,,155,,,,,,,,,,,,,,,2,,,,,,1,2,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
156,11,00,14,00,2007,12,11,Levi,,22,3.1,,,FALSE,,FALSE,,156,,,,,,,,,,1,,0.5,,,3,,,,,,,1.5,,,0.5,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
157,14,30,18,00,2007,12,11,Levi,Ashdod S,22,3.1,,,FALSE,,FALSE,,157,,,,,,,,,,,,,,,3,,,,,,,1.5,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
158,19,00,22,00,2007,12,11,Levi,Ashdod N,,1.7,,,FALSE,,FALSE,Gambari,158,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
159,23,00,04,00,2007,12,11,Levi,Ashdod N,,1.4,,,FALSE,,FALSE,Gambari,159,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
160,,,,,2007,12,14,,,,,,,TRUE,,FALSE,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
161,,,,,2007,12,15,,,,,,,TRUE,,FALSE,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
162,09,30,13,00,2007,12,19,Levi,Ashdod N,29,,,,FALSE,,FALSE,,162,,,,,,,,,,2,,1,,,,,,,,,,4,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
163,13,30,17,30,2007,12,19,Levi,Jaffa N,32,,,,FALSE,,FALSE,,163,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,1,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
164,18,30,24,30,2007,12,19,Levi,Tel Aviv,14.5,,,,FALSE,,FALSE,Gambari,164,,,,,,,,,20 Kg S+,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
165,01,30,05,30,2007,12,19,Levi,Ashdod N,17,,,,FALSE,,FALSE,Gambari,165,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
166,07,00,10,30,2007,12,20,Levi,,32,,,,FALSE,,TRUE,,166,,,,,,,,,,2,,1,,,,,,,,,,2,,,,,,,0.5,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
167,10,30,14,00,2007,12,20,Levi,Jaffa S,32,,,,FALSE,,TRUE,,167,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,
168,15,00,16,30,2007,12,20,,Ashdod S,38,,,,FALSE,,TRUE,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
169,08,00,11,15,2007,12,21,Levi,Ashdod S,28,,,,FALSE,,FALSE,,169,,,,,,,,,,,,,,,,,,,,,,2 B+,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
170,10,45,13,45,2007,12,28,Levi,Ashdod N,,2.6,,,FALSE,,FALSE,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
171,14,30,17,30,2007,12,28,Levi,Rishon S,,2.8,,,FALSE,,FALSE,,171,,,,,,,,,4 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
172,18,00,22,00,2007,12,28,Levi,Ashdod N,,2.5,,,FALSE,,FALSE,Gambari,172,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
173,22,30,01,30,2007,12,28,Levi,Bat yam S,,2.5,,,FALSE,,FALSE,Gambari,173,,,,,,,,,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
174,02,00,06,30,2007,12,28,,Ashdod N,18,2.5,,,FALSE,,FALSE,Gambari,174,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
175,07,15,10,15,2007,12,29,,Rishon N,29,3.5,,,FALSE,,FALSE,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
176,11,30,14,15,2007,12,29,Levi,Hertzlia S,29,,,,FALSE,,FALSE,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,
177,14,45,,,2007,12,29,Levi,Ashdod N,28,,,,FALSE,,TRUE,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,
178,07,00,10,00,2007,12,30,Levi,Falick N,29.5,,,,FALSE,,FALSE,,178,,,,,,,,,,,,,,,,,,,,,,1 B+,,,,,,,,1,,,,,,,FALSE,6-7 Nasrala,,,,,,,,,TRUE,,,,,,,,
179,,,,,2007,12,,,,,,,,FALSE,,FALSE,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
180,11,15,14,00,2007,12,30,Levi,Bet Yanai S,23,,,,FALSE,,FALSE,,180,,,,,,,,,,,,,,,,,,,,,,1 B+,,,,,,,1,,,,,,,,FALSE,6-7 nasrala,,,,,,,,,FALSE,,,,,,,,
181,14,30,17,30,2007,12,30,Levi,Gaash S,,2.2,,,FALSE,,FALSE,,181,,,,,,,,,,1.5,,,,,,,,2,,,,1.5 B+,,,,,,,,1,,,,,,1 L+1 S+,FALSE,,,,,1,,,,,FALSE,,,,,,,,
182,18,30,03,30,2007,12,30,Levi,Ashdod N,14,,,,FALSE,,FALSE,Gambari,182,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
183,08,00,11,00,2008,01,01,Levi,Ashdod S,23,2.2,,,FALSE,,FALSE,,183,,,,,,,,,,,,,,,,,,,,,,1 B+,,,,,,,,1,,,,,,,FALSE,,,,,1,,,,,TRUE,,,,,,,,
184,11,45,14,45,2008,01,01,Levi,Ashkelon S,25.5,,,,FALSE,,FALSE,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,TRUE,,,,,,,,
185,15,15,18,00,2008,01,01,Levi,Ashkelon N,32,,,,FALSE,,FALSE,,185,,,,,,,,,,2,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
186,19,30,24,00,2008,01,01,Levi,Ashdod N,,3.2,,,FALSE,,FALSE,Gambari,186,,,,,,,,,25 Kg L+,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
187,00,30,04,00,2008,01,01,Levi,Ashdod N,25,,,,FALSE,,FALSE,Gambari,187,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
188,,,,,2008,01,04,knaan,,,,,,TRUE,,FALSE,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
189,,,,,2008,01,05,knaan,,,,,,FALSE,,TRUE,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
190,06,45,11,45,2008,01,10,Doly,Jaffa N,37.5,,,,FALSE,,FALSE,,190,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
191,12,15,16,30,2008,01,10,Doly,Natanya S,39,,,,FALSE,,FALSE,,191,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
192,17,30,22,15,2008,01,10,Doly,Michmoret S,14,,,,FALSE,,FALSE,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,שק מדוזות,,,,,,,,,FALSE,,,,,,,,
193,23,55,03,45,2008,01,10,Doly,Jaffa S,14.5,,,,FALSE,,FALSE,Gambari,193,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,שק מדוזות,,,,2,,,,,FALSE,,,,,,,,
194,10,00,13,00,2008,01,11,Doly,Ashdod S,,3.1,,,FALSE,,FALSE,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,
195,13,30,17,00,2008,01,11,Doly,Katza N,,2.7,,,FALSE,,FALSE,,195,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
196,18,00,22,30,2008,01,11,Doly,Katza N,,1.4,,,FALSE,,FALSE,Gambari,196,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,שק מדוזות,,,,1,,,,,FALSE,,,,,,,,
197,23,00,05,30,2008,01,11,Doly,Ashdod N,,1.7,,,FALSE,,FALSE,Gambari,197,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,שק מדוזות,,,,0.5,,,,,FALSE,,,,,,,,
198,06,45,10,00,2008,01,12,Doly,Palmachim N,33,,,,FALSE,,FALSE,,198,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
199,10,30,13,30,2008,01,12,Doly,Jaffa N,37,,,,FALSE,,FALSE,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,שק בוץ,,,,2,,,,,FALSE,,,,,,,,
200,14,45,17,00,2008,01,12,Doly,Tel Aviv S,33,,,,FALSE,,FALSE,,200,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
201,18,00,23,15,2008,01,12,Doly,Jaffa S,,2.5,,,FALSE,,FALSE,Gambari,201,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
202,23,45,05,30,2008,01,12,Doly,Ashdod N,,2.5,,,FALSE,,FALSE,Gambari,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,ברזל קרע את הרשת,,,,,,,,,FALSE,,,,,,,,
203,07,30,11,45,2008,01,13,Doly,Jaffa S,34,,,,FALSE,,FALSE,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,אין דגים,,,,,,,,,TRUE,,,,,,,,
204,13,30,17,15,2008,01,13,Doly,Ashdod S,35,,,,FALSE,,FALSE,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,מרשת זו התחלתי להפריד בין מעורב כללי למעורב דגים,,,,2,,,,,FALSE,,,,,,,,
205,19,45,23,15,2008,01,13,Doly,Ashdod S,,1.2,,,FALSE,,FALSE,Gambari,205,,,,,,,,,5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
206,00,00,04,00,2008,01,13,Doly,Ashdod N,,2.5,,,FALSE,,FALSE,Gambari,206,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
207,10,30,12,45,2008,01,14,Doly,Ashdod S,14,2.2,,,FALSE,,FALSE,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,אין דגים,,,,,,,,,TRUE,,,,,,,,
208,13,45,17,15,2008,01,14,Doly,Ashdod N,85,,,,FALSE,,FALSE,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
209,18,45,22,00,2008,01,14,Doly,Jaffa S,,2.5,,,FALSE,,FALSE,Gambari,209,,,,,,,,,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
210,22,45,01,00,2008,01,14,Doly,Ashdod N,,,,,FALSE,,FALSE,Gambari,210,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
211,02,45,05,30,2008,01,14,Doly,Rishon S,,,,,FALSE,,FALSE,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
212,07,15,11,15,2008,01,15,Doly,Ashdod N,85,,,,FALSE,,FALSE,,212,,,,,,,,,,,,,,,0.5,1 S+,,,,,,,,,,,,,,,,,,1.5,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,
213,11,45,17,00,2008,01,15,Doly,Jaffa S,115,,,,FALSE,,FALSE,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,
214,19,30,23,30,2008,01,15,Doly,Ashdod N,,2.5,,,FALSE,,FALSE,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
215,23,45,04,00,2008,01,15,Doly,Ashdod N,,2.5,,,FALSE,,FALSE,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
216,12,30,13,30,2008,01,16,Levi,Ashdod S,42,,,,FALSE,,FALSE,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,
217,20,30,02,00,2008,01,16,Levi,Ashdod N,,2.5,,,FALSE,,FALSE,Gambari,217,,,,,,,,,15 Kg L+,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
218,02,145,05,45,2008,01,16,Levi,Ashdod S,13,,,,FALSE,,FALSE,Gambari,218,,,,,,,,,20 Kg S+,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
219,10,30,13,30,2008,01,17,Levi,nitzanim S,42,,,,FALSE,,FALSE,,219,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1,,,,,,FALSE,,,,,1.5,,,,,FALSE,,,,,,,,
220,15,00,18,00,2008,01,17,Levi,Gazza N,33,,,,FALSE,,FALSE,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,
221,20,00,00,00,2008,01,17,Levi,Ashdod N,,1.9,,,FALSE,,FALSE,Gambari,221,,,,,,,,,25 Kg M+,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
222,00,30,04,00,2008,01,17,Levi,Ashdod N,,,,,FALSE,,FALSE,Gambari,222,,,,,,,,,20 Kg M+,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
223,10,45,13,45,2008,01,18,Levi,Ashdod N,22,,,,FALSE,,FALSE,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,
224,14,30,18,30,2008,01,18,Levi,Jaffa N,,,,,FALSE,,FALSE,,224,,,,,,,,,,,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
225,19,00,00,30,2008,01,18,Levi,Rishon S,18,2.5,,,FALSE,,FALSE,Gambari,225,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
226,01,00,06,00,2008,01,18,Levi,Ashdod N,17.5,,,,FALSE,,FALSE,Gambari,226,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,
227,07,45,09,45,2008,01,19,Levi,Palmachim S,85,,,,FALSE,,FALSE,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,TRUE,,,,,,,,
