Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Sardin_round,Shark
108,21,00,03,00,2008,11,08,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,108,,,,,,,,,90 Kg,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
109,11,30,15,00,2008,11,17,Vadim,Ashdod S,40,,,,FALSE,,FALSE,,109,,,,,,,,,,2,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
110,15,30,20,00,2008,11,17,Vadim,Jaffa S,42,,,,FALSE,,FALSE,,110,,,,,,,,,,2,,,,,1.5,,,,,,,,1,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
111,21,00,02,00,2008,11,17,Vadim,Ashdod N,46,,,,FALSE,,FALSE,,111,,,,,,,,,,2,,,,,5,,,,,,,,2,,,,,,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
112,02,30,07,00,2008,11,17,Vadim,Jaffa,50,,,,FALSE,,FALSE,,112,,,,,,,,,,1,,,,,3.5,,,,,,,,,,,,,,0.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,1,,,,,,,,,
113,07,45,11,00,2008,11,18,Vadim,Falick N,27,,,,FALSE,,FALSE,,113,,,,,,,,,,1,,,,,,,,,,,2,1.5,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
114,11,45,15,15,2008,11,18,Vadim,Falick N,41,,,,FALSE,,FALSE,,114,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,1,1,,,,,,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
115,16,00,19,30,2008,11,18,Vadim,Falick S,,3.2,,,FALSE,,FALSE,,115,,,,,,,,,,1,,,,,,,1,,,,1.5,1.5,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
116,,,,,2008,11,18,Vadim,Ashdod N,,2.1,,,FALSE,,FALSE,,116,,,,,,,,,35 Kg,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
117,08,30,12,00,2008,11,19,Vadim,Ashdod S,,3.8,,,FALSE,,FALSE,,117,,,,,,,,,,2,,0.5,,,,,,,,,,3,,,,,,,,,,,,,,,FALSE,,2,,,,,,,,FALSE,,,,,,,,,,,
118,12,30,16,00,2008,11,19,Vadim,Katza N,22,,,,FALSE,,FALSE,,118,,,,,,,,,,,,,,,,,1,,,,2,2.5,,,,,,,,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
119,17,00,23,00,2008,11,19,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,119,,,,,,,,,55 Kg,,,,,,,,,,,2 Ind,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
120,12,30,02,30,2008,11,19,Levi,,,,,,FALSE,,FALSE,,120,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
121,03,00,06,00,2008,11,19,Vadim,,,,,,FALSE,,FALSE,,121,,,,,,,,,45 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
122,07,00,11,00,2008,11,20,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,122,,,,,,,,,,,,1,,,0.5,,,,,,,0.5,,,,,,,1,,,,,,,1 S+,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
123,11,30,16,30,2008,11,20,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,123,,,,,,,,,,1,,1,,,,,,,,,,3,,,,,,,0.5,,,,,,,1,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
124,,,,,2008,11,20,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,124,,,,,,,,,80 Kg,,,,,,,,,,,1,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
125,10,00,13,30,2008,11,21,Vadim,Ashdod N,,3.4,,,FALSE,,FALSE,,125,,,,,,,,,,2,,1,,,,,,,,1,1,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
126,14,00,17,00,2008,11,21,Vadim,,,,,,FALSE,,FALSE,,126,,,,,,,,0.5,,,,,,,1,,1,,,0.5,2,0.25,,,,,,,,,,,4,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
127,18,15,23,30,2008,11,21,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,Gambari,127,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
128,00,00,05,30,2008,11,21,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,Gambari,128,,,,,,,,,45 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
129,07,00,10,30,2008,11,22,,Ashdod S,43,,,,FALSE,,FALSE,,129,,,,,,,,,,,,1,,,,,,,,,,1.5,,,1,,,,4,,,,,,,2 L+,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
130,11,00,15,30,2008,11,22,Vadim,Gazza N,,,,,FALSE,,FALSE,,130,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,3,5,,,,,,,2,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
131,17,30,00,30,2008,11,22,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,131,,,,,,,,,45 Kg,,,,,,,,,,,2 Ind L+,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
132,01,00,05,00,2008,11,22,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,132,,,,,,,,,35 Kg,,,,,,,,,,,1 Ind L+,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
133,07,00,11,00,2008,11,23,Vadim,Ashdod S,43,,,,FALSE,,FALSE,,133,,,,,,,,,,,,,,,,,,1,,,,2,,,4,,,1,3,,,,,,,3,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
134,12,30,16,30,2008,11,23,Vadim,Ashdod S,43,,,,FALSE,,FALSE,,134,,,,,,,,,,,,,,,,,1,2,,,,3,,,,,,12,5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
135,17,30,00,30,2008,11,23,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,135,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
136,01,00,05,30,2008,11,23,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,136,,,,,,,,,25 Kg,,,,,,,,,,,1,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
137,10,30,14,00,2008,11,24,Vadim,Ashdod S,43,,,,FALSE,,FALSE,,137,2,,,,,,,,,,,1,,,1,,,,,,,,,,,,,2,2.5,,,,,,,17 L+,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
138,14,30,19,00,2008,11,24,Vadim,Ashdod S,46,,,,FALSE,,FALSE,,138,2,,,,,,,,,,,,,,,,,,,,,2,,,1,,,2,2.5,,,,,,,2,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
139,20,00,03,30,2008,11,24,Vadim,,,,,,FALSE,,FALSE,,139,,,,,,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
140,06,30,11,00,2008,11,25,Vadim,Ashdod S,43,,,,FALSE,,FALSE,,140,,,,,,,,,,,,1,,,,,,1,,,,2,,,1,,,,2,,,,,,,2,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
141,,,,,2008,11,25,Vadim,Ashdod S,43,,,,FALSE,,FALSE,,141,,,,,,,,,,,,2,,,1,,,1,,,,4,,,2,,,,1,,,,,,,2,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
142,,,,,2008,11,25,Vadim,,,1.4,,,FALSE,,FALSE,,142,,,,,,,,2,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
143,10,00,14,00,2008,11,26,Levi,Ashdod S,43,,,,FALSE,,FALSE,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
144,15,20,17,00,2008,11,26,Levi,Katza N,16,,,,FALSE,,FALSE,,144,,,,3,,,1.5,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,FALSE,,0.5,,,1,,,,,FALSE,,,,,,,,,,,
145,18,00,00,00,2008,11,26,Levi,Nitanim S,,1.5,,,FALSE,,FALSE,Gambari,145,,,,,3,,1 S+,,20 Kg,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,
146,00,30,06,00,2008,11,26,Levi,Nitanim S,,1.5,,,FALSE,,FALSE,,146,,,,,2,,,,20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,0.5,,,,,
147,06,00,09,40,2008,11,27,Levi,Ashkelon S,17,,,,FALSE,,FALSE,,147,,,,2,2,,,,,,,,,,2,,,,,,2,,,,,,,,,,,1,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
148,10,10,13,45,2008,11,27,Levi,Nitanim S,17,,,,FALSE,,FALSE,,148,,,,3,1,,,2,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
149,14,15,18,30,2008,11,27,Levi,Ashdod S,16,,,,FALSE,,FALSE,,149,,,,,2,,,,12 Kg,,,,,,1,,,,,,2,,,,,,,,,,,,1,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
150,19,00,00,00,2008,11,27,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,Gambari,150,,,,,1,,,1,45 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
151,01,00,04,00,2008,11,27,Levi,Ashdod N,,1.8,,,FALSE,,FALSE,,151,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
152,,,,,2008,11,28,,,,,,,TRUE,,FALSE,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
153,08,00,11,15,2008,11,29,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,153,,,,,1,,,,,,,,,,1,,,,,,3.5,,,,,,,1.5 S+,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
154,11,45,15,40,2008,11,29,Levi,Katza N,16,,,,FALSE,,FALSE,,154,,,,2,1,,,,,,,,,,4,2 B+,,,,,5,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
155,16,00,,,2008,11,29,Levi,Katza N,16,,,,FALSE,,FALSE,,155,,,,,1,,,,1,,,,,,7,1 B+,,,,2 Ind L+,3,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
156,20,00,01,00,2008,11,29,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,Gambari,156,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
157,01,15,,,2008,11,29,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,157,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
158,06,00,09,30,2008,11,30,Levi,Ashdod S,,1.4,,,FALSE,,FALSE,,158,,,,,1,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
159,10,00,11,,2008,11,30,Levi,Katza N,16,,,,FALSE,,FALSE,,159,,,,,1,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
160,11,20,14,30,2008,11,30,Levi,Ashkelon N,,2.2,,,FALSE,,FALSE,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,,
161,15,30,18,30,2008,11,30,Levi,Ashdod S,27,,,,FALSE,,FALSE,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
162,20,00,01,00,2008,11,30,Levi,Ashkelon N,,2.2,,,FALSE,,FALSE,Gambari,162,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
163,01,30,06,00,2008,11,30,Levi,Ashkelon N,,2.2,,,FALSE,,FALSE,,163,,,,,,,,,50 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
164,06,30,09,00,2008,12,01,Levi,Ashkelon S,16,,,,FALSE,,FALSE,,164,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1 B+,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
165,11,30,13,30,2008,12,01,Levi,Ashkelon S,34,,,,FALSE,,FALSE,,165,,,,,,,,,,,,,,,,,,,,,1 S+,1,,,,,1,,,,,,,,,1 L+,FALSE,,1 Ind L+,,,1,,,,,FALSE,,,,,,,,,,,
166,14,00,17,45,2008,12,01,Levi,Ashdod S,32,,,,FALSE,,FALSE,,166,,,,,,,,,,,,,,,,,,,,,,1 B+,1,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
167,19,00,00,00,2008,12,01,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,167,,,,,,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
168,00,30,,,2008,12,01,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,168,,,,,,,,,45 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
169,11,30,16,00,2008,12,03,Vadim,Ashdod S,50,,,,FALSE,,FALSE,,169,,,,,,,,,,1,,,,,0.5,,,,,,,,,,,,,,1,,,,,,,,TRUE,,,,,,,,,,FALSE,,,,,,,,,,,
170,17,00,20,30,2008,12,03,Vadim,Ashdod S,22,,,,FALSE,,FALSE,,170,,,,,,,,,,1,,,,,,,1,,,,,0.5,,,,,,,0.5,,,,,,,,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,
171,21,30,02,00,2008,12,03,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,171,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
172,02,30,06,00,2008,12,03,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,172,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
173,07,00,11,00,2008,12,04,Vadim,,30,,,,FALSE,,FALSE,,173,,,,,,,,,,2,,,,,,,,,,,,3,,,1,,,3,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
174,12,00,16,00,2008,12,04,Vadim,,41,,,,FALSE,,FALSE,,174,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,2,2,,,,,,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
175,17,30,23,00,2008,12,04,Vadim,,,,,,FALSE,,FALSE,,175,,,,,,,,,35 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
176,23,30,05,30,2008,12,04,Vadim,,,,,,FALSE,,FALSE,,176,,,,,,,,,45 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
177,10,30,15,00,2008,12,05,Vadim,Ashdod S,75,,,,FALSE,,FALSE,,177,3 L+,,,,,,,,,,,,,,,,,,,,,,,,,,,32 S+2 L+,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
178,15,30,19,00,2008,12,05,Vadim,Ashdod S,43,,,,FALSE,,FALSE,,178,,,,,,,,,,,,,,,1,,,,,,,0.5,,,1,,,3 S+,1,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
179,,,,,2008,12,05,Vadim,Ashdod S,,2.2,,,FALSE,,FALSE,,179,,,,,,,,,60 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
180,07,30,12,00,2008,12,06,Vadim,,35,,,,FALSE,,FALSE,,180,,,,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,2.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
181,12,30,17,00,2008,12,06,Vadim,,35,,,,FALSE,,FALSE,,181,,,,,,,,,,2,,,,,,,,,,,,0.5,,,1,,,5,1.5,,,,,1,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
182,,,,,2008,12,06,Vadim,Ashdod N,,1.8,,,FALSE,,FALSE,,182,,,,,,,,,55 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
183,07,30,12,00,2008,12,07,Vadim,Ashdod N,42,,,,FALSE,,FALSE,,183,,,,,,,,,,1,,,,,,,,,,,,,,,0.5,,,1 S+8 L+,0.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
184,,,,,2008,12,07,Vadim,Ashdod N,53,,,,FALSE,,FALSE,,184,2 L+,,,,,,,,,2,,,,,,,,,,,,,,,,,,7 S+,0.5,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
185,,,,,2008,12,07,Vadim,Ashdod N,,1.8,,,FALSE,,FALSE,,185,,,,,,,,,50 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
186,09,50,13,50,2008,12,15,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,186,,,,,,,,,,,,,,,1,,,,,,1,2.5,1,,,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,0.5,,,,,
187,14,15,17,00,2008,12,15,Levi,Ashkelon N,23,,,,FALSE,,FALSE,,187,,,,,,,,,,,,1,,,,,,,,,1,1.5,2,,,,,,,,,,,,,1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
188,19,15,00,30,2008,12,16,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,188,,,,,,,,,15 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
189,02,00,04,00,2008,12,16,Levi,Ashdod S,12,,,,FALSE,,FALSE,,189,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
190,07,00,11,30,2008,12,17,Levi,Ashdod S,22,,,,FALSE,,FALSE,,190,,,,,,,,,,1,,1.5,,,,,,,,,1,1,4,,,,1,,,,,,,,,,FALSE,,,,,1.5,,,,,FALSE,,,,,,,,,,,
191,12,11,17,00,2008,12,17,Levi,Gazza N,22,,,,FALSE,,FALSE,,191,,,,,,,,,,1,,1,,,1,1,,4,,,,1.5,4,,0.5,,,,,,,,,,,1 B+1,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
192,18,00,00,00,2008,12,17,Levi,Ashdod S,10,,,,FALSE,,FALSE,Gambari,192,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
193,06,45,10,45,2008,12,18,Levi,Ashdod S,28,,,,FALSE,,FALSE,,193,,,,,,,,,,,,1,,,1,,,,,,,1.5,,,,,1,,0.5,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,1,
194,11,45,14,45,2008,12,18,Levi,Katza S,32,,,,FALSE,,FALSE,,194,,,,,,,,,,,,0.5,,,1,,,,,,,2,1,,0.5,,,,0.5,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
195,15,15,17,45,2008,12,18,Levi,Katza S,32,,,,FALSE,,FALSE,,195,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,,
196,20,00,03,00,2008,12,18,Levi,Ashdod S,14,,,,FALSE,,FALSE,Gambari,196,,,,,1,,,,40 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
197,11,00,14,00,2008,12,19,Levi,Ashdod S,,3.1,,,FALSE,,FALSE,,197,,,,,,,,,,1 S+,,1,,,,,,,,,,2,3,,,,1,1,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,1 L+,,,,
198,15,30,19,30,2008,12,19,Levi,Ashdod S,,3.1,,,FALSE,,FALSE,,198,,,,,,,,,2,1,,1,,,,,,,,,,2,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
199,20,00,01,30,2008,12,19,Levi,Katza N,12,,,,FALSE,,FALSE,,199,,,,,1,,,,4 B+,,,,,,,,,,,,,,,,,,,,,,,,,,1,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
200,01,30,,,2008,12,19,Levi,Katza N,12,,,,FALSE,,FALSE,,200,,,,,1,,,,3,,,,,,1,,,,,,,,,,1.5,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,
201,07,45,11,45,2008,12,20,Levi,Ashdod S,,3.1,,,FALSE,,FALSE,,201,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,1,,,,
202,12,15,17,15,2008,12,20,Levi,Ashkelon S,20,,,,FALSE,,FALSE,,202,,,,,,,,,,0.5 S+0.5 M+,,1.5,,,1,,,,,,,,3,,1,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,1,,,,
203,17,45,00,15,2008,12,20,Levi,Ashdod S,13,,,,FALSE,,FALSE,,203,,,,,,,,,30 Kg,,,,,,,,,,1 S+,,,,,,1.5,,,,,,,,,,1,,FALSE,,,,,1,,,,,FALSE,,0.5,,,,,,,,,
204,00,30,05,00,2008,12,20,Vadim,Ashdod S,13,,,,FALSE,,FALSE,,204,,,,,,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
205,07,45,11,30,2008,12,21,Levi,Ashdod S,,3.1,,,FALSE,,FALSE,,205,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,FALSE,,,,,1,,,,,FALSE,,,,,,,1 L+,,,,
206,18,00,20,15,2008,12,21,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,Gambari,206,,,,,,,,,6 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
207,20,45,03,30,2008,12,21,Levi,Ashdod S,12,,,,FALSE,,FALSE,,207,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
208,,,,,2008,12,22,,,,,,,TRUE,,FALSE,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
209,,,,,2008,12,23,,,,,,,TRUE,,FALSE,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
210,,,,,2008,12,24,,,,,,,TRUE,,FALSE,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
211,,,,,2008,12,25,,,,,,,TRUE,,FALSE,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
212,08,30,13,00,2008,12,26,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,212,,,,,,,,,,,,2,,,5,,,2,,,2,5,,,2,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
213,13,30,17,00,2008,12,26,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,213,,,,,,,,,,,,2,,,4,,,2,,,2,3,,,1,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
214,18,00,06,00,2008,12,26,Vadim,Ashdod N,,1.6,,,FALSE,,FALSE,,214,,,,,,,,,80 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
215,07,30,12,00,2008,12,27,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,215,,,,,,,,,,,,1,,,3,,,3,,,3,5,,,,,,,,,,,,,,2,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
216,12,30,17,00,2008,12,27,Vadim,Ashdod N,,3,,,FALSE,,FALSE,,216,,,,,,,,,,,,2,,,4,,,4,,,3,6,,,2,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
217,18,00,04,00,2008,12,27,Vadim,Ashdod N,,1.6,,,FALSE,,FALSE,,217,,,,,,,,2,70 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
218,06,30,11,00,2008,12,28,Vadim,Ashdod N,,3.5,,,FALSE,,FALSE,,218,,,,,,,,,,,,2,,,4,,,2,,,,4,,,2,,,,,,,,,1,,2,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
219,11,30,16,30,2008,12,28,Vadim,Ashdod N,,3.5,,,FALSE,,FALSE,,219,,,,,,,,,,,,2,,,5,,,2,,,3,5,,,2,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
220,18,00,03,00,2008,12,28,Vadim,Ashdod N,,1.6,,,FALSE,,FALSE,,220,,,,,,,,,70 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,
