Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,box_only,night_drag_prawn,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Many Nasralas,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Gomber,Vak Vak,Shark,Pijama,Aras
1966,18,30,0,0,2016,2,10,Levi,Ashdod S,,2.6,,,FALSE,,FALSE,,FALSE,FALSE,,,3.5,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
1967,1,0,6,15,2016,2,10,Levi,Ashdod S,16,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,,,,,4 Kg,,,1,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,1,,,,,,,,
1974,11,30,15,30,2016,2,15,Levi,Ashdod S,24,,,,FALSE,,FALSE,,FALSE,FALSE,,,4,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
1977,2,0,6,30,2016,2,23,Levi,Ashdod S,12,3,,,FALSE,,FALSE,,FALSE,FALSE,,,16,,2,,,,3 Kg,,,0.5,,,1.5,,,,,,,0.5,,,1,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,0.5,,,,,,,,
1981,23,0,3,30,2016,2,23,Levi,Ashdod S,23,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,3,,,,3 Kg,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
1990,23,30,,,2016,2,25,Levi,Ashdod S,19,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,8,,,,,FALSE,,,,,,,,,,,,,,
1998,12,0,16,0,2016,3,7,Michael,Ashdod S,21.25,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,2 Kg,,,,1,,0.5,,,,,2,1,,1,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2002,6,45,11,30,2016,3,8,Michael,Ashdod S,20.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,,,,,1.5,,1.5,,,,,2,2,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2006,6,30,10,30,2016,3,9,Michael,Ashdod S,,3.6,,,FALSE,,FALSE,,FALSE,FALSE,,,2.5,,,,,,,,,,,,1,,0.5,,,,,0.5,2,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2015,6,0,11,15,2016,3,12,Michael,Ashdod S,23,,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,,,,,,,,,,,0.5,,0.5,,,,,,,,0.5,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,FALSE,,,,,,,,,,,,,,
2018,6,30,10,15,2016,3,13,Michael,Ashdod S,19.7,,,,FALSE,,FALSE,,FALSE,FALSE,,,0.5,,,,,,,,2 Kg,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2026,19,30,1,15,2016,3,18,Michael,Ashdod S,21,,,,FALSE,,FALSE,,FALSE,FALSE,,,7,,,,,,,,,,,,,,3 Kg,,,,,,,,3 Kg,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2031,19,0,23,15,2016,3,19,Michael,Ashdod S,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,4.5,,1,,,,,,,,,,2 Kg,,,,,,,,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2092,11,45,16,30,2016,4,14,Michael,Ashdod S,24.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,,,,,1.5,,1,,,,,0.5,3,,,,,,,,,,,,,,FALSE,FALSE,,1 Ind 8 Kg,,,,,,,,FALSE,,,,,,,,,,,,,,
2135,6,30,10,45,2016,5,5,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,FALSE,FALSE,,,7 M+,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2136,11,30,15,30,2016,5,5,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,,FALSE,FALSE,,,5,,,,,,,,,,,,0.5,,,,,,,1,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2137,16,15,20,0,2016,5,5,Levi,Ashdod S,16,2.7,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2138,20,45,3,30,2016,5,5,Levi,Ashdod S,16.5,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,2 B+,,4,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2144,1,30,6,0,2016,5,7,Levi,Ashdod S,16,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,1,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2152,21,15,5,30,2016,5,9,Levi,Ashdod S,16,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,0.5,,2.5,,,,20 Kg,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,0.5,,,,,,,,
2169,11,45,15,0,2016,5,16,Michael,Ashdod S,19.5,2.2,,,FALSE,,FALSE,,FALSE,FALSE,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2170,15,45,20,0,2016,5,16,Michael,Ashdod S,,1.7,,,FALSE,,FALSE,,FALSE,FALSE,,,0.5,,1,,,,,,,,,,3 Kg,,1.5 Kg,,,,,1 Kg,,,,,1,,,,,,,,,1,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,1.25,,,,,,,,
2190,8,30,13,30,2016,5,25,Michael,Ashdod S,18.25,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,2 Kg,,,,,,,,0.5,,1,,,,,3,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2193,6,0,10,45,2016,5,26,Michael,Ashdod S,20,,,,FALSE,,FALSE,,FALSE,FALSE,,,1.5,,,,,,,,,,,,0.5,,1,,,,,,0.5,,,,,,,,1.5,,,,,1,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2197,9,30,13,45,2016,5,27,Michael,Ashdod S,20,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2.5,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2201,6,0,10,30,2016,5,29,Michael,Ashdod S,20,,,,FALSE,,FALSE,,FALSE,FALSE,,,1.5,,,,,,,,,,,,,,1,,,,,,0.5,,,,,,,,1.5,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2218,6,15,10,30,2016,8,22,Michael,Ashdod S,21,,,,FALSE,,FALSE,,FALSE,FALSE,,,4,,,,,,,,3.25,,,,2 Kg,,0.5,1.5,,,1.5,1.5,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,2 Kg,,,,,,,,,,,,
2224,17,15,19,30,2016,8,23,Michael,Ashdod S,20,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,,,,,0.75,,,2,,,,,,,,,,,,,1,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2230,6,30,10,30,2016,8,25,Michael,Ashdod S,23.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,0.5,,,,0.5,,2,0.25,,,0.2 S+,0.25,,,,,,,0.25,,,,,,,,FALSE,FALSE,,1 Ind 15 Kg,,,0.25,,,,,FALSE,,,,,,,,,,,,,,
2234,11,45,15,30,2016,8,28,Levi,Ashdod S,24,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,0.5,1.5,0.25,,1,,,,,,0.25,2.5,0.5,,,,0.5,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2239,16,0,20,0,2016,8,29,Levi,Ashdod S,22,3,,,FALSE,,FALSE,,FALSE,FALSE,,,4,,,,,,5 Kg,,,1,,,0.5,,,0.5 S+,,0.5,0.5 S+,2,1,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2241,2,15,6,15,2016,8,29,Levi,Ashdod S,16,2.5,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,3,,2,,,,6 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2243,9,30,14,15,2016,8,30,Levi,Ashdod S,25,,,,FALSE,,FALSE,,FALSE,FALSE,,,9,,,,,,,,1,2,1,,1,,,,,,,1,1,,,,,,1,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2252,19,45,23,30,2016,9,1,Michael,Ashdod S,26.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,,,,,0.5,,,,,,,,2,,,,,,,,,,,,,,0.5,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2332,20,15,1,0,2016,10,4,Levi,Ashdod S,16,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,2,,3,,,,10 Kg S+,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,0.5,,,,,,,,
2336,21,30,1,45,2016,10,5,Levi,Ashdod S,,2.2,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,2,,1,,,,6 Kg,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2361,10,30,11,0,2016,10,14,Levi,Ashdod S,22,,,,FALSE,2.2,FALSE,,FALSE,FALSE,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2364,21,30,2,30,2016,10,14,Levi,Ashdod S,17,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,2,,1,,6 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2366,9,0,12,15,2016,10,15,Levi,Ashdod S,24.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,,2,,,0.25,,,,,,,2,1,,0.25,,,,,,,,,,,,FALSE,FALSE,,2 Ind 8 Kg +1 Ind 3 Kg,,,,,,,,FALSE,,,,,,,,,,,,,,
2389,12,15,15,45,2016,10,25,Levi,Ashdod S,14,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,1,,1 B+ 0.5 S+,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2391,20,15,1,0,2016,10,25,Levi,Ashdod S,16,3,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,2,,2,,,,7 Kg,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2408,10,15,14,15,2016,10,30,Michael,Ashdod S,20,,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,,,,,,,,1.5,,,0.5,,,,,,1,3,,,,,,1,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2412,6,0,11,15,2016,10,31,Michael,Ashdod S,23,,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,0.5,,,,,,,2,,,0.5,,,,,,,5,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2415,11,15,16,30,2016,11,2,Michael,Ashdod S,22,,,,FALSE,,FALSE,,FALSE,FALSE,,,13,,1,,,,,,,1,,,2,,,2.5,,,1,2,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2418,12,30,17,45,2016,11,3,Michael,Ashdod S,22,,,,FALSE,,FALSE,,FALSE,FALSE,,,1.5,,0.5,,,,,,,1.5,,,2,,1.5,,,1,1,2,,,,,,,,,,,,,,0.5,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2438,10,45,14,45,2016,11,9,Levi,Ashdod S,16,,,,FALSE,,FALSE,,FALSE,FALSE,,,,1 L+,1.5,,1 B+,,,,,,1 L+,,2,,,,,,2 L+,,,,,,,,,,,,,,,1 B+,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,1.5,,,,,,,,
2442,6,30,11,0,2016,11,10,Levi,Ashdod S,10,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,1,,,,,,,,,,0.3,,,,,,,0.3 B+,,,,,,,,,,0.5,,,,,FALSE,FALSE,,0.5 S+,,,,,,,,TRUE,,,,,,0.3,,,,,,,,
2448,3,45,6,45,2016,11,15,Levi,Ashdod S,16,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,2,,,,6 Kg,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2453,6,30,10,30,2016,11,21,Michael,Ashdod S,16,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,,,,,,,,1.5,,,2,,,,,,1,2,,,,,,,,,,,,,,2 B+,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2460,19,45,23,30,2016,11,22,Michael,Ashdod S,23,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,1,,,,1 Kg,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2462,11,15,16,15,2016,11,23,Michael,Ashdod S,19,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,1,,,,,,,2,,,1.5,,,,,,3.5,3,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2465,8,30,12,30,2016,11,24,Michael,Ashdod S,19,,,,FALSE,,FALSE,,FALSE,FALSE,,,1.5,,0.75,,,,,,,1.5,,,0.5,,,,,0.5,1,1.25,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2472,1,30,5,0,2016,11,25,Michael,Ashdod S,19,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,0.5,,,,3 Kg,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2480,13,45,16,30,2016,11,28,Levi,Ashdod S,14,,,,FALSE,,FALSE,,FALSE,FALSE,,,0.5,,1,,0.5 S+,,,,,,0.5,,2,,,,,,0.5,0.5 B+,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,0.5,,,,,,,,
2483,6,0,10,15,2016,11,29,Levi,Ashdod S,14,3,,,FALSE,,FALSE,,FALSE,FALSE,,,,,2,,,,,,,1,,,6,,,,,0.5,0.5 L+,,,,0.5,,,,,,,,0.5,,,1,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2487,0,30,5,30,2016,11,29,Levi,Ashdod S,16.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,3,,,,20 Kg,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2489,11,0,16,0,2016,11,30,Levi,Ashdod S,12,3,,,FALSE,,FALSE,,FALSE,FALSE,,,1,,2,,,,,,,1,,,0.5,,,,,1,0.5,,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2490,16,30,22,15,2016,11,30,Levi,Ashdod S,14,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,0.5,,2,,,,20 Kg,,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2491,22,45,3,15,2016,11,30,Levi,Ashdod S,15,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,2,,,1,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2492,11,15,15,30,2016,12,3,Levi,Ashdod S,13.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,,1,2,,1 M+,,,,,,,,1.5,,,1 B+ 1 L+,2.5,,,0.25 B+,,,0.5,2.5,,,,,,,,,1,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,0.25,,,,,,,,
2495,23,45,,,2016,12,3,Levi,Ashdod S,16,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,0.5,,2,,,,8 Kg,,,1,,,0.5,,,,0.5,,,,,,,0.5,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2498,20,0,23,30,2016,12,4,Michael,Ashdod S,23,,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,1,,,,,,,2 Kg,,,,,,,,,,,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2514,11,0,14,30,2016,12,9,Michael,Ashdod S,21,,,,FALSE,,FALSE,,FALSE,FALSE,,,6,,,,,,,,,1,,,1.5,,,,,,0.5,1.25,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2525,20,45,2,15,2016,12,15,Levi,Ashdod S,23,,,,FALSE,,FALSE,,FALSE,FALSE,,,23,,1,,,,3 Kg,,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2531,8,45,13,15,2016,12,17,Levi,Ashdod S,10,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,2,,,1,,,,,,,8,,,,,,4,,,,1,,,,,,,,,,,2 S+,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,1,,,,,,,,
2532,14,0,17,45,2016,12,17,Levi,Ashdod S,12,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,1,,,,,,,,,,5,,,,0.75,,2,,,,1,0.75,,,,,,,,,,1 S+,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,1,,,,,,,,
2535,11,15,16,45,2016,12,18,Levi,Ashdod S,10,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,1,,,,,2,,,,,6,,,,,,2,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,1,,,,,,,,
2536,23,30,1,0,2016,12,18,Levi,Ashdod S,22,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2537,1,30,6,15,2016,12,18,Levi,Ashdod S,15,,,,FALSE,,FALSE,,FALSE,FALSE,,,5,,3,,,,2 Kg,,,,,,0.5,,,,,,,,,,2,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,0.5 S+,,,,,,,,,,,,
2538,7,15,11,15,2016,12,19,Levi,Ashdod S,10,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,0.5,,,,,,,,
2539,13,0,17,15,2016,12,19,Levi,Ashdod S,21.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,10 M+,,,,,,,,,2,,,2,,,,,,1 B+,0.5,,,0.5,,,,0.5 L+,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2542,12,0,16,45,2016,12,20,Michael,Ashdod S,20.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,12.5,,,,,,,,,1.5,,,2,,,,,,,1,,,1.5,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2546,12,45,16,45,2016,12,21,Michael,Ashdod S,20.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,8,,,,,,,,,1,,,2.5,,,,,,0.5,0.5,,,1,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2556,14,45,19,0,2016,12,28,Levi,Ashdod S,14,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,2,,,,,,,0.3,,,5,,,0.3,1,,2 L+,,,,0.5,,,,,,,,,,,3 S+,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,0.3,,,,,,,,
2560,14,30,16,30,2016,12,29,Levi,Ashdod S,12,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2574,6,45,11,15,2017,1,5,Michael,Ashdod S,22,,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,,,,,,,,1.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2577,10,15,13,45,2017,1,10,Levi,Ashdod S,12,3,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,,,,,10,,,,,,1,1 B+,,,,,,,,,,,,,,2,FALSE,FALSE,,1 Ind 2.5 Kg,,,,,,,,FALSE,,,,,,,,,,,,,,
2590,10,0,14,0,2017,1,13,Levi,Ashdod S,11,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,2,,,,,,,,8,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2591,15,0,19,0,2017,1,13,Levi,Ashdod S,19,,,,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2592,19,45,0,0,2017,1,13,Levi,Ashdod S,24.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2598,6,45,11,0,2017,1,16,Michael,Ashdod S,21,,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,,,,,,,,0.5,,,3,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2602,6,45,10,45,2017,1,17,Michael,Ashdod S,20.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,3,,,,,,,,,0.5,,,1.5,,,,,,,,,,,,,0.5,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2616,17,15,22,0,2017,1,25,Levi,Ashdod S,14.5,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,0.5,11 Kg,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,0.5,,,,,,,,,,,,
2620,11,15,15,15,2017,1,29,Michael,Ashdod S,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,10,,4,,,,2 Kg,,,0.5,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2624,7,15,12,0,2017,1,30,Michael,Ashdod S,17.5,,,,FALSE,,FALSE,,FALSE,FALSE,,,7,,4,,,,,,,0.5,,,2.5,,,0.5 S+,,,,2,,,1,,,,2 Kg,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,1,,,,,,,,,,,,
2628,6,30,10,30,2017,1,31,Michael,Ashdod S,17,,,,FALSE,,FALSE,,FALSE,FALSE,,,5,,0.5,,,,,,,1,,,6,,,,,,,3 Kg,,,2,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2639,23,45,3,30,2017,2,2,Levi,Ashdod S,15,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,1,,2,,,,10 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2640,7,45,12,0,2017,2,3,Levi,Ashdod S,12,4,,,FALSE,,FALSE,,FALSE,FALSE,,,4,,,,,,,,,,,,5,,,,,,0.5 S+,,,,,,,0.5,,,,,,,,2,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2642,18,45,0,15,2017,2,3,Levi,Ashdod S,16,2.2,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,2,,1,,,,8 Kg,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2643,0,45,6,15,2017,2,3,Levi,Ashdod S,16,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,2,,1,,,,8 Kg,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,
2644,6,45,12,0,2017,2,4,Levi,Ashdod S,18,,,,FALSE,,FALSE,,FALSE,FALSE,,,6,,,,,,,,,1,,,4,,,,,,,,,,1.5,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
2645,13,15,18,0,2017,2,4,Levi,Ashdod S,18,2.2,,,FALSE,,FALSE,,FALSE,FALSE,,,6,,,,,,,,,1,,,4,,,,,,,,,,1,,,,,,,,,,,,FALSE,FALSE,,,,,1,,,,,FALSE,,,,,,,,,,,,,,
2647,0,15,3,30,2017,2,4,Levi,Ashdod S,15,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,,,,,1,,,,3 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,0.5,,,,,FALSE,,,,,,,,,,,,,,
